Category,Request,Priority,Status,Requested From,Due Date,Received Date,Reviewer,Source or File,Finding or Follow-up
Financial,Three to five years of federal and state business tax returns,High,Not requested,,,,,
Financial,Monthly profit and loss statements for three years plus current year,High,Not requested,,,,,
Financial,Year-end and current balance sheets,High,Not requested,,,,,
Financial,Bank statements and merchant processing reports,High,Not requested,,,,,
Financial,Accounts receivable and accounts payable aging,High,Not requested,,,,,
Financial,Schedule and support for every proposed add-back,High,Not requested,,,,,
Financial,Inventory report and aging,Medium,Not requested,,,,,
Financial,Debt schedule and financing agreements,High,Not requested,,,,,
Legal,Formation documents and ownership records,High,Not requested,,,,,
Legal,Material customer supplier and vendor contracts,High,Not requested,,,,,
Legal,Property and equipment leases,High,Not requested,,,,,
Legal,Permits licenses and regulatory correspondence,High,Not requested,,,,,
Legal,Pending threatened or historical litigation and claims,High,Not requested,,,,,
Tax,Payroll sales property and income tax filings and notices,High,Not requested,,,,,
Commercial,Customer list revenue history and concentration analysis,High,Not requested,,,,,
Commercial,Sales pipeline churn pricing and marketing performance,Medium,Not requested,,,,,
Operations,Owner responsibilities and weekly time allocation,High,Not requested,,,,,
Operations,Equipment list condition maintenance and capital needs,Medium,Not requested,,,,,
Operations,Key processes systems cybersecurity and business continuity,High,Not requested,,,,,
Employees,Employee roster compensation tenure benefits and classification,High,Not requested,,,,,
Employees,Key employee retention and change-of-control considerations,High,Not requested,,,,,
Insurance,Policies claims history and coverage gaps,Medium,Not requested,,,,,
Closing,Required third-party consents and transfer approvals,High,Not requested,,,,,
Closing,Working capital inventory and purchase-price adjustment calculation,High,Not requested,,,,,
Transition,30-60-90 day customer employee vendor and systems transition plan,High,Not requested,,,,,
